start_station_name,lat,lng,member_casual,count,cum_percent
Cornell Ave & Hyde Park Blvd,41.80241885942857,-87.58690249810488,casual,2765,76.29252311926827
Sangamon St & Lake St,41.88582322135096,-87.65105118607751,casual,2761,76.45104376168737
Walsh Park,41.914546876816686,-87.66797088867546,casual,2733,76.60795680613919
Greenview Ave & Diversey Pkwy,41.932615644638375,-87.66595635537638,casual,2710,76.76354932368928
Damen Ave & Charleston St,41.92007572625,-87.6779101065681,casual,2672,76.91696010114087
Broadway & Granville Ave,41.99475852053303,-87.66032843292417,casual,2664,77.06991156488753
LaSalle St & Washington St,41.8826638251693,-87.63254088275771,casual,2658,77.22251854335548
Museum of Science and Industry,41.7917364844151,-87.58394674168302,casual,2650,77.37466620811848
Ada St & Washington Blvd,41.88283647503796,-87.66120098323462,casual,2634,77.5258952454716
Southport Ave & Irving Park Rd,41.95416343083015,-87.66431959387145,casual,2614,77.67597599856235
Lake Park Ave & 53rd St,41.799520604527004,-87.58642920356186,casual,2611,77.82588450901375
Orleans St & Hubbard St,41.88995407305449,-87.63662626672678,casual,2606,77.97550594839954
Clark St & Bryn Mawr Ave,41.983557569746644,-87.66920266442995,casual,2605,78.12506997357224
Halsted St & Polk St,41.871826152947975,-87.64664105644701,casual,2595,78.27405985661375
Leavitt St & North Ave,41.91036284471158,-87.68237909949671,casual,2583,78.42236076909784
Dearborn St & Van Buren St,41.87625445558457,-87.62923692492986,casual,2566,78.56968563995892
Campbell Ave & North Ave,41.91053472730589,-87.68956429651764,casual,2550,78.71609188341012
Noble St & Milwaukee Ave,41.90069573306211,-87.66258663983098,casual,2544,78.8621536415826
Ashland Ave & Grace St,41.95067773670209,-87.66869989399449,casual,2541,79.00804315711571
Broadway & Thorndale Ave,41.98975018960885,-87.66013451993679,casual,2531,79.15335853051766
Financial Pl & Ida B Wells Dr,41.875052058649736,-87.63311771275292,casual,2481,79.29580319326371
Ashland Ave & Wrightwood Ave,41.9288270791129,-87.66853130045565,casual,2480,79.43819044179664
Clarendon Ave & Leland Ave,41.9679472754933,-87.65000505388957,casual,2463,79.57960164870654
Broadway & Berwyn Ave,41.978351963446165,-87.65976320122348,casual,2452,79.72038129927216
Clark St & Montrose Ave,41.961569602909464,-87.66613681551853,casual,2430,79.85989783714918
Morgan St & Polk St,41.87187705150889,-87.65107055066557,casual,2419,79.99878281868189
